step,sigma_i,baseline_v_fwd_LL,baseline_v_rev_LL,baseline_gap_LL,baseline_gap_LL_std,baseline_v_fwd_LH,baseline_v_rev_LH,baseline_gap_LH,baseline_gap_LH_std,baseline_v_fwd_HL,baseline_v_rev_HL,baseline_gap_HL,baseline_gap_HL_std,baseline_v_fwd_HH,baseline_v_rev_HH,baseline_gap_HH,baseline_gap_HH_std
0,1.0,351.8800582885742,352.25007247924805,0.3700141906738281,4.608439393841607,254.75164794921875,254.28101921081543,-0.4706287384033203,1.0852167865176672,255.02691268920898,255.03637504577637,0.009462356567382812,0.9638419930494182,254.48116397857666,254.71080589294434,0.22964191436767578,1.258909065220503
1,0.9583333134651184,355.8398971557617,358.6270694732666,2.787172317504883,7.415124234484972,254.30939102172852,254.0462303161621,-0.26316070556640625,1.0599340170053373,254.18512630462646,254.72275066375732,0.5376243591308594,1.2308562156946414,254.20659923553467,254.5925807952881,0.38598155975341797,0.9662311300227037
2,0.9166666865348816,366.4327926635742,364.7549247741699,-1.6778678894042969,14.98310391252739,253.3777313232422,253.09637546539307,-0.2813558578491211,0.9846962641004942,253.1469669342041,253.61464405059814,0.46767711639404297,0.7325432810242184,253.58305072784424,253.70582962036133,0.12277889251708984,1.0989931456076052
3,0.875,371.1256465911865,366.12001037597656,-5.005636215209961,14.547505873710232,253.70093059539795,253.20364379882812,-0.4972867965698242,0.9385853832819337,253.73220348358154,253.8358278274536,0.10362434387207031,1.1804869801621607,254.55544567108154,254.05692768096924,-0.4985179901123047,1.0255044626282361
4,0.8333333134651184,374.78930854797363,366.12963485717773,-8.659673690795898,15.754241839593707,253.71053218841553,253.09175205230713,-0.6187801361083984,1.0401081733547217,253.7759771347046,253.64862251281738,-0.12735462188720703,1.1308044416895242,253.76546955108643,253.96159267425537,0.1961231231689453,0.8106737118907251
5,0.7916666865348816,377.4359016418457,367.993408203125,-9.442493438720703,14.614160651913641,252.29167461395264,252.01731204986572,-0.27436256408691406,1.2428316084311384,252.75869464874268,252.4936113357544,-0.26508331298828125,1.0769474203436786,252.92599964141846,252.78856563568115,-0.1374340057373047,0.9214789799552344
6,0.75,378.78780364990234,367.84075355529785,-10.947050094604492,15.053200147480224,252.56323337554932,251.69493293762207,-0.8683004379272461,1.4319853443916761,252.91397094726562,252.17499160766602,-0.7389793395996094,1.2933234066703618,252.29526901245117,252.5551872253418,0.259918212890625,1.063777842307427
7,0.7083333134651184,380.0858688354492,367.81858253479004,-12.26728630065918,15.954575827730208,253.2110366821289,252.1516408920288,-1.0593957901000977,1.1413823579288884,253.60186767578125,252.59424591064453,-1.0076217651367188,1.141275349103893,253.21159267425537,252.96722316741943,-0.2443695068359375,1.0155013004065905
8,0.6666666269302368,381.4733295440674,368.62879371643066,-12.844535827636719,15.414018615404169,252.3301076889038,250.71684551239014,-1.6132621765136719,1.282776939129422,253.02650451660156,251.2063570022583,-1.8201475143432617,1.1086224557138242,252.28720951080322,251.62621116638184,-0.6609983444213867,1.466238471706554
9,0.625,382.3274784088135,368.3714408874512,-13.956037521362305,15.35629060279913,252.82398509979248,250.75477409362793,-2.069211006164551,1.3061121718880144,253.10912990570068,251.23155212402344,-1.877577781677246,1.5742259045698612,252.41766738891602,251.71046924591064,-0.7071981430053711,1.2530934793759732
10,0.5833333134651184,382.7527160644531,368.4213981628418,-14.331317901611328,14.625498497732384,253.0275001525879,250.61371612548828,-2.4137840270996094,1.0119643930707598,253.71316719055176,251.0671625137329,-2.6460046768188477,1.1610701070083875,252.8149938583374,251.56169033050537,-1.2533035278320312,1.2203979959366282
11,0.5416666269302368,383.2392234802246,368.16866874694824,-15.070554733276367,14.97564374101472,251.83675479888916,248.89094257354736,-2.945812225341797,1.6512752334473895,252.7797393798828,249.43570613861084,-3.3440332412719727,1.2901689685461313,251.058274269104,249.7854528427124,-1.2728214263916016,1.5509558392725378
12,0.5,383.72334480285645,368.1114749908447,-15.611869812011719,15.142920330755242,252.15179538726807,248.84553909301758,-3.3062562942504883,1.3804781469857959,253.2583236694336,249.40441417694092,-3.853909492492676,1.4207782022168176,251.7706422805786,250.02701950073242,-1.7436227798461914,1.4315038938161613
13,0.4583333432674408,383.61981201171875,367.6149024963379,-16.00490951538086,15.051518655267113,251.42218494415283,247.50343704223633,-3.918747901916504,1.9131295927601923,252.06580066680908,248.03333568572998,-4.032464981079102,1.3460735259950756,251.01243495941162,248.70963859558105,-2.3027963638305664,1.5947091823539785
14,0.4166666865348816,383.39891815185547,366.7198715209961,-16.679046630859375,15.279394650857311,251.7817506790161,246.91119766235352,-4.870553016662598,1.6247309919474904,252.52457237243652,247.52544784545898,-4.999124526977539,1.766374877248917,251.31373977661133,248.4028615951538,-2.9108781814575195,1.809070561258725
15,0.375,383.6529884338379,366.2470455169678,-17.405942916870117,15.566524013866971,251.15776348114014,245.71886920928955,-5.438894271850586,1.8283218264433025,252.62785816192627,246.3573694229126,-6.270488739013672,1.792008942372584,250.53184509277344,247.3145351409912,-3.2173099517822266,1.8601582505326586
16,0.3333333432674408,383.1628894805908,365.0693168640137,-18.09357261657715,15.466868647625422,250.08631038665771,243.7310495376587,-6.355260848999023,1.7508046484631157,251.49430751800537,244.42573165893555,-7.068575859069824,1.6646868738990583,249.8674087524414,245.6041774749756,-4.26323127746582,1.7964615466177967
17,0.2916666865348816,382.6133632659912,363.38183403015137,-19.231529235839844,15.60129591726384,249.87514305114746,241.9137315750122,-7.961411476135254,2.1421481643107407,251.0840835571289,242.77505588531494,-8.309027671813965,2.1879515066506903,249.7159824371338,244.1482973098755,-5.567685127258301,1.9986546563073517
18,0.25,381.38831329345703,361.0989685058594,-20.289344787597656,15.611539371576105,247.82680320739746,238.66103649139404,-9.165766716003418,2.1516311817347153,249.2766990661621,239.59497165679932,-9.681727409362793,2.0319917195890613,248.14983367919922,241.3591766357422,-6.790657043457031,2.2853192684607713
19,0.2083333432674408,379.8702449798584,358.0960388183594,-21.774206161499023,16.162318044303724,246.65832138061523,235.07055759429932,-11.587763786315918,3.0585178061537115,248.0942897796631,236.18193912506104,-11.91235065460205,2.5211447098235547,247.34057331085205,238.52582931518555,-8.814743995666504,3.0324646550420877
20,0.1666666716337204,377.56453704833984,354.1756706237793,-23.388866424560547,16.552840188329192,242.85901069641113,228.68850231170654,-14.17050838470459,3.621262850412489,244.7878646850586,229.94384860992432,-14.844016075134277,3.135475681283385,243.68700218200684,232.58836936950684,-11.0986328125,3.2772614404799687
21,0.125,373.8671474456787,347.75972747802734,-26.107419967651367,17.710870684025096,237.7821855545044,219.475567817688,-18.306617736816406,4.693916544018858,240.11478996276855,221.1291151046753,-18.98567485809326,4.851255485711641,239.50960636138916,224.4041976928711,-15.105408668518066,4.66034065789963
22,0.0833333358168602,367.2300796508789,338.19969177246094,-29.03038787841797,19.321031894075286,228.4690752029419,203.19164657592773,-25.27742862701416,7.91955778664606,231.12494659423828,205.14031410217285,-25.98463249206543,7.322520757652587,230.70306205749512,208.83436584472656,-21.868696212768555,6.916291024052739
23,0.0416666679084301,352.6578121185303,320.9908447265625,-31.666967391967773,21.52953458933213,203.91052913665771,167.60494136810303,-36.30558776855469,13.669717183772141,206.89969444274902,169.7261323928833,-37.17356204986572,13.051378843374822,206.47056007385254,172.81170177459717,-33.65885829925537,12.570235159146174
