step,sigma_i,baseline_v_fwd,baseline_v_rev,baseline_gap,baseline_gap_std
0,1.0,564.6533889770508,564.7617492675781,0.10836029052734375,3.33872914927615
1,0.9583333134651184,566.4715270996094,568.4972381591797,2.0257110595703125,5.038263527535597
2,0.9166666865348816,572.0922431945801,571.0512351989746,-1.0410079956054688,10.26749099245563
3,0.875,575.9194679260254,572.2215766906738,-3.6978912353515625,9.784929092527358
4,0.8333333134651184,577.9723320007324,572.0410537719727,-5.931278228759766,10.41932991867021
5,0.7916666865348816,578.2671813964844,571.7109260559082,-6.556255340576172,9.966131728106804
6,0.75,579.0239372253418,571.2321090698242,-7.791828155517578,10.444263893437142
7,0.7083333134651184,580.8767318725586,571.789493560791,-9.087238311767578,11.044069646882903
8,0.6666666269302368,580.7281227111816,570.4643440246582,-10.263778686523438,10.864496477430906
9,0.625,581.6473731994629,570.3728446960449,-11.274528503417969,10.681833560492855
10,0.5833333134651184,582.4233894348145,570.212646484375,-12.210742950439453,10.075610189519848
11,0.5416666269302368,581.0722808837891,567.7834625244141,-13.288818359375,10.904402160721292
12,0.5,582.0427284240723,567.8141784667969,-14.22854995727539,10.769254234595884
13,0.4583333432674408,580.8230056762695,565.7112197875977,-15.111785888671875,10.827822911103429
14,0.4166666865348816,581.1458282470703,564.5049362182617,-16.640892028808594,11.21170193291243
15,0.375,580.7732429504395,562.671142578125,-18.102100372314453,11.381931369996304
16,0.3333333432674408,579.2195053100586,559.4323806762695,-19.787124633789062,11.47151358710402
17,0.2916666865348816,578.5293273925781,556.1502418518066,-22.379085540771484,12.055582708851937
18,0.25,575.3743095397949,550.6260185241699,-24.748291015625,12.258712696352514
19,0.2083333432674408,573.0264511108398,544.3620262145996,-28.664424896240234,13.496910669271065
20,0.1666666716337204,566.8783798217773,533.74049949646,-33.13788032531738,14.382512470474481
21,0.125,558.4396667480469,518.1494388580322,-40.29022789001465,16.925361278802956
22,0.0833333358168602,542.4405975341797,491.2608814239502,-51.17971611022949,21.422656389481055
23,0.0416666679084301,501.92203521728516,435.2872829437256,-66.63475227355957,30.05273437133929
